layer,replicate,n_train,n_oob,update_mse,update_r2
7,39,14353,5311,0.03973156213760376,0.6745479106903076
8,39,14353,5311,0.0470338873565197,0.6703259348869324
9,39,14353,5311,0.060638755559921265,0.6716885566711426
10,39,14353,5311,0.08154705166816711,0.5780983567237854
11,39,14353,5311,0.4156535565853119,0.5358254909515381
0,40,14353,5309,0.01741429977118969,0.7687875628471375
1,40,14353,5309,0.022867806255817413,0.342605322599411
2,40,14353,5309,0.03617953136563301,0.4409930408000946
3,40,14353,5309,0.06155714392662048,0.5234306454658508
4,40,14353,5309,0.03210582211613655,0.5187302231788635
5,40,14353,5309,0.030495554208755493,0.5870575308799744
6,40,14353,5309,0.031849175691604614,0.6254344582557678
7,40,14353,5309,0.03959064185619354,0.6781497001647949
8,40,14353,5309,0.04698789492249489,0.6735141277313232
9,40,14353,5309,0.0599873848259449,0.6742834448814392
10,40,14353,5309,0.08090509474277496,0.5793395638465881
11,40,14353,5309,0.43421435356140137,0.5716792345046997
0,41,14353,5290,0.017655305564403534,0.7674710154533386
1,41,14353,5290,0.022772997617721558,0.3421217203140259
